epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.702,1.36113,2.0882,1.46746,0.64303,0.46584,0.51875,0.29522,1.42315,1.60764,1.48901,0.00332959,0.00332959,0.00332959
2,349.894,1.36777,1.63965,1.47681,0.55654,0.42031,0.44089,0.25728,1.45709,1.75797,1.58701,0.006531,0.006531,0.006531
3,522.774,1.43819,1.65861,1.52546,0.39841,0.34339,0.29319,0.14499,1.72728,3.34122,1.83586,0.0096004,0.0096004,0.0096004
4,692.067,1.47208,1.66098,1.56102,0.59743,0.40806,0.44809,0.25957,1.51709,1.68348,1.64289,0.009406,0.009406,0.009406
5,860.303,1.42507,1.57283,1.54592,0.61446,0.46895,0.52147,0.29775,1.4602,1.55241,1.58702,0.009208,0.009208,0.009208
6,1028.8,1.40071,1.50316,1.51655,0.63602,0.47266,0.54068,0.32808,1.39307,1.42066,1.5338,0.00901,0.00901,0.00901
7,1197.77,1.37358,1.45025,1.49879,0.6664,0.46972,0.54741,0.32954,1.3764,1.39861,1.51219,0.008812,0.008812,0.008812
8,1366.8,1.36101,1.40571,1.48363,0.64522,0.48281,0.54676,0.33293,1.34489,1.3519,1.48561,0.008614,0.008614,0.008614
9,1536,1.34619,1.38238,1.47596,0.67175,0.50176,0.57895,0.35925,1.3231,1.29325,1.46716,0.008416,0.008416,0.008416
10,1705.08,1.32819,1.34779,1.46214,0.66905,0.51933,0.59076,0.36409,1.32501,1.2517,1.45492,0.008218,0.008218,0.008218
11,1874.2,1.32823,1.33742,1.45675,0.64644,0.49353,0.56743,0.35195,1.30491,1.29981,1.47604,0.00802,0.00802,0.00802
12,2043.61,1.315,1.30828,1.44763,0.68438,0.51553,0.59397,0.3758,1.26523,1.23883,1.42847,0.007822,0.007822,0.007822
13,2213.31,1.29678,1.28088,1.42862,0.69806,0.54325,0.62068,0.39488,1.2515,1.18412,1.40002,0.007624,0.007624,0.007624
14,2382.03,1.28136,1.26119,1.42358,0.7,0.53457,0.61718,0.38735,1.27404,1.19326,1.39076,0.007426,0.007426,0.007426
15,2550.48,1.27862,1.23441,1.41814,0.70085,0.5443,0.62366,0.39932,1.24969,1.16432,1.39486,0.007228,0.007228,0.007228
16,2719.03,1.25964,1.22392,1.41304,0.68719,0.55655,0.6311,0.40239,1.24046,1.14957,1.37337,0.00703,0.00703,0.00703
17,2887.29,1.26879,1.21394,1.40935,0.723,0.56226,0.64166,0.40408,1.26082,1.14122,1.37801,0.006832,0.006832,0.006832
18,3055.28,1.26292,1.20264,1.40645,0.72812,0.55609,0.64425,0.41451,1.22398,1.1088,1.37166,0.006634,0.006634,0.006634
19,3222.79,1.24289,1.18024,1.39672,0.71615,0.57618,0.659,0.42266,1.22117,1.09237,1.36091,0.006436,0.006436,0.006436
20,3390.28,1.25035,1.17603,1.40315,0.72885,0.5662,0.65913,0.42639,1.20842,1.08064,1.36828,0.006238,0.006238,0.006238
21,3558.35,1.24805,1.1629,1.39528,0.71678,0.57876,0.65919,0.42995,1.19931,1.06608,1.34943,0.00604,0.00604,0.00604
22,3726.61,1.2437,1.15611,1.38939,0.72601,0.5823,0.66544,0.4335,1.19001,1.05298,1.34069,0.005842,0.005842,0.005842
23,3894.5,1.23835,1.14916,1.37996,0.72269,0.56666,0.65839,0.43292,1.18411,1.06903,1.33799,0.005644,0.005644,0.005644
24,4062.07,1.22638,1.1382,1.38172,0.73941,0.57992,0.6729,0.43186,1.21576,1.03498,1.35615,0.005446,0.005446,0.005446
25,4229.27,1.21996,1.11851,1.37348,0.73432,0.58747,0.67195,0.43622,1.19508,1.03596,1.33574,0.005248,0.005248,0.005248
26,4397.59,1.21418,1.1056,1.36822,0.73851,0.59311,0.68272,0.44655,1.18326,1.01896,1.33096,0.00505,0.00505,0.00505
27,4564.76,1.20304,1.09325,1.36544,0.74725,0.59565,0.68676,0.44632,1.18622,1.01225,1.32057,0.004852,0.004852,0.004852
28,4732.41,1.20206,1.08848,1.36064,0.74325,0.59657,0.684,0.44676,1.18634,1.00338,1.31741,0.004654,0.004654,0.004654
29,4900.53,1.19384,1.07205,1.35444,0.73739,0.60975,0.69257,0.45272,1.17286,0.99183,1.30956,0.004456,0.004456,0.004456
30,5068.64,1.18811,1.06312,1.34986,0.75095,0.59584,0.6866,0.45149,1.1648,0.99717,1.30788,0.004258,0.004258,0.004258
31,168.167,1.1968,1.05434,1.34909,0.75136,0.60053,0.69101,0.45439,1.16562,0.98427,1.30523,0.00406,0.00406,0.00406
32,165.462,1.15889,0.98215,1.32076,0.76041,0.59898,0.69151,0.45462,1.17223,0.97671,1.31175,0.003862,0.003862,0.003862
33,332.122,1.17928,1.04426,1.35095,0.75081,0.60347,0.69142,0.45628,1.16518,0.98323,1.30529,0.003664,0.003664,0.003664
34,499.977,1.18326,1.03482,1.33893,0.7611,0.59506,0.69184,0.45521,1.16324,0.97889,1.30476,0.003466,0.003466,0.003466
35,668.53,1.18184,1.02129,1.33302,0.74402,0.60965,0.69654,0.46093,1.15333,0.96621,1.29606,0.003268,0.003268,0.003268
36,836.426,1.16658,1.01554,1.33447,0.75927,0.60958,0.70068,0.46449,1.14615,0.96121,1.29183,0.00307,0.00307,0.00307
37,1005.24,1.16428,0.99926,1.32696,0.76113,0.6112,0.70421,0.46786,1.14194,0.95189,1.29438,0.002872,0.002872,0.002872
38,1173.96,1.15643,0.99293,1.32342,0.76595,0.62024,0.70696,0.46847,1.142,0.9471,1.28762,0.002674,0.002674,0.002674
39,1343.44,1.15988,0.98315,1.32151,0.76483,0.61473,0.70229,0.46588,1.14305,0.94752,1.28341,0.002476,0.002476,0.002476
40,1511.79,1.15533,0.98079,1.32079,0.77289,0.61421,0.70793,0.47161,1.1331,0.9402,1.27859,0.002278,0.002278,0.002278
41,1678.68,1.16435,0.9625,1.34284,0.75842,0.61559,0.70418,0.46864,1.13652,0.9445,1.2793,0.00208,0.00208,0.00208
42,1844.76,1.15183,0.946,1.33865,0.76571,0.61107,0.70272,0.46943,1.13379,0.9478,1.28162,0.001882,0.001882,0.001882
43,2011.11,1.14449,0.9291,1.33003,0.75818,0.61863,0.70459,0.46929,1.13938,0.95092,1.28184,0.001684,0.001684,0.001684
44,2177.58,1.13247,0.90966,1.32509,0.76062,0.6162,0.70306,0.46764,1.13982,0.94822,1.28195,0.001486,0.001486,0.001486
45,2344.52,1.12569,0.89755,1.31891,0.76929,0.61544,0.70442,0.46999,1.13224,0.94458,1.27783,0.001288,0.001288,0.001288
46,2511.11,1.12235,0.87905,1.31247,0.76578,0.61803,0.70466,0.47054,1.13061,0.94106,1.27692,0.00109,0.00109,0.00109
47,2677.55,1.11734,0.8726,1.30907,0.76717,0.61702,0.70451,0.47156,1.12826,0.93964,1.27418,0.000892,0.000892,0.000892
48,2845.23,1.10996,0.86488,1.30618,0.77239,0.6156,0.70598,0.47217,1.12875,0.93944,1.27325,0.000694,0.000694,0.000694
49,3012.2,1.10386,0.86168,1.30451,0.7762,0.61241,0.70599,0.47369,1.12506,0.93661,1.2716,0.000496,0.000496,0.000496
50,3178.17,1.08859,0.83819,1.29232,0.7766,0.61268,0.70565,0.47354,1.12809,0.93781,1.27356,0.000298,0.000298,0.000298
