epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.717,1.1171,0.9114,1.29119,0.75248,0.61057,0.69574,0.45907,1.16426,0.96478,1.29489,0.00332959,0.00332959,0.00332959
2,349.857,1.13458,0.94911,1.31157,0.74553,0.60271,0.68116,0.445,1.18751,1.01631,1.32192,0.006531,0.006531,0.006531
3,520.695,1.19208,1.03082,1.3361,0.70224,0.54103,0.61924,0.3964,1.24924,1.18012,1.37525,0.0096004,0.0096004,0.0096004
4,691.712,1.2441,1.12613,1.37386,0.70614,0.53506,0.61523,0.37915,1.30439,1.20321,1.42528,0.009406,0.009406,0.009406
5,861.53,1.23932,1.13553,1.38384,0.72944,0.55106,0.63849,0.40644,1.24837,1.13129,1.38591,0.009208,0.009208,0.009208
6,1031.47,1.23901,1.1273,1.37788,0.71477,0.55557,0.63837,0.41762,1.2351,1.13882,1.38044,0.00901,0.00901,0.00901
7,1201.67,1.23358,1.12391,1.37785,0.71845,0.55572,0.64088,0.40573,1.25101,1.12353,1.38123,0.008812,0.008812,0.008812
8,1371.88,1.2389,1.11458,1.37342,0.73365,0.55466,0.64813,0.41727,1.24001,1.10015,1.37655,0.008614,0.008614,0.008614
9,1541.16,1.23246,1.11067,1.3786,0.73431,0.57568,0.66056,0.4294,1.22692,1.06972,1.37036,0.008416,0.008416,0.008416
10,1711,1.22597,1.10548,1.3705,0.72358,0.57741,0.66254,0.42144,1.23748,1.07718,1.35547,0.008218,0.008218,0.008218
11,1880.82,1.23627,1.1077,1.37419,0.71183,0.56005,0.64446,0.41077,1.24545,1.10826,1.38138,0.00802,0.00802,0.00802
12,2051.2,1.22701,1.09195,1.36517,0.72168,0.589,0.66587,0.43116,1.21381,1.06535,1.34503,0.007822,0.007822,0.007822
13,2220.6,1.21353,1.07538,1.35575,0.76279,0.58228,0.67317,0.44095,1.20222,1.04799,1.34322,0.007624,0.007624,0.007624
14,2390.67,1.20034,1.06445,1.35251,0.74372,0.58703,0.67743,0.43967,1.20046,1.02193,1.32885,0.007426,0.007426,0.007426
15,2561.49,1.20356,1.04944,1.35089,0.74352,0.58724,0.67392,0.44473,1.18486,1.02389,1.3273,0.007228,0.007228,0.007228
16,2732.04,1.19004,1.053,1.34895,0.73597,0.59248,0.6777,0.44145,1.20144,1.01509,1.33315,0.00703,0.00703,0.00703
17,2902.81,1.20274,1.04565,1.34971,0.75666,0.59397,0.68233,0.44535,1.19598,1.00875,1.32776,0.006832,0.006832,0.006832
18,3073.93,1.19736,1.03873,1.34713,0.75699,0.59926,0.68791,0.44831,1.18477,1.00581,1.32182,0.006634,0.006634,0.006634
19,3243.85,1.1808,1.02371,1.33532,0.74476,0.60191,0.68669,0.45131,1.19036,1.00165,1.32133,0.006436,0.006436,0.006436
20,3413.17,1.18766,1.02973,1.3426,0.75001,0.60166,0.69107,0.45394,1.1749,0.99708,1.31779,0.006238,0.006238,0.006238
21,3583.52,1.18971,1.02238,1.33833,0.74372,0.60558,0.69409,0.45637,1.17364,0.98748,1.30823,0.00604,0.00604,0.00604
22,3754.03,1.18588,1.01348,1.33511,0.75945,0.61032,0.70012,0.46241,1.15708,0.97761,1.29778,0.005842,0.005842,0.005842
23,3923.89,1.18158,1.01054,1.32938,0.74055,0.60449,0.68644,0.45326,1.16301,0.998,1.31285,0.005644,0.005644,0.005644
24,4092.62,1.16895,0.99734,1.32736,0.75407,0.6128,0.69909,0.45412,1.18861,0.97923,1.31356,0.005446,0.005446,0.005446
25,4262.44,1.16395,0.99158,1.32294,0.75345,0.61649,0.69888,0.46091,1.16114,0.96385,1.29845,0.005248,0.005248,0.005248
26,4432.36,1.16154,0.97733,1.31785,0.77112,0.62065,0.70893,0.47082,1.14724,0.95157,1.29074,0.00505,0.00505,0.00505
27,4601.28,1.1521,0.97173,1.31675,0.76263,0.62462,0.71157,0.47175,1.15019,0.94766,1.28288,0.004852,0.004852,0.004852
28,4770.69,1.15049,0.96847,1.31276,0.77446,0.60792,0.7025,0.46453,1.16115,0.9516,1.2911,0.004654,0.004654,0.004654
29,4940.09,1.14368,0.96013,1.31191,0.76255,0.62382,0.70939,0.47099,1.14434,0.94108,1.28303,0.004456,0.004456,0.004456
30,5109.25,1.14002,0.94829,1.3072,0.75796,0.62266,0.70708,0.46807,1.14588,0.94369,1.28837,0.004258,0.004258,0.004258
31,5277.77,1.13623,0.94682,1.30714,0.76616,0.62319,0.71114,0.4726,1.14247,0.94274,1.28613,0.00406,0.00406,0.00406
32,5447.36,1.13942,0.94119,1.30532,0.7725,0.62357,0.71281,0.47664,1.13514,0.93492,1.27435,0.003862,0.003862,0.003862
33,5616.68,1.13657,0.94361,1.30598,0.78234,0.61846,0.71362,0.47738,1.13511,0.92479,1.27621,0.003664,0.003664,0.003664
34,5786.19,1.127,0.92824,1.29712,0.76412,0.62946,0.71602,0.47889,1.12828,0.92808,1.27073,0.003466,0.003466,0.003466
35,5956.6,1.13561,0.92592,1.29897,0.76689,0.63034,0.72035,0.48389,1.12398,0.91769,1.26759,0.003268,0.003268,0.003268
36,6126.91,1.11944,0.91376,1.29373,0.7615,0.6331,0.7171,0.48299,1.12369,0.92258,1.26606,0.00307,0.00307,0.00307
37,6297.49,1.12596,0.90448,1.28993,0.76936,0.62958,0.71895,0.48256,1.12771,0.92531,1.26296,0.002872,0.002872,0.002872
38,6467.98,1.12155,0.9098,1.29176,0.77733,0.63264,0.72198,0.48559,1.12369,0.91953,1.26363,0.002674,0.002674,0.002674
39,6638.23,1.10672,0.89431,1.28168,0.77982,0.63114,0.72345,0.48667,1.11623,0.90945,1.25339,0.002476,0.002476,0.002476
40,6808.71,1.11892,0.90334,1.28574,0.77514,0.63816,0.72407,0.48738,1.1121,0.90811,1.25345,0.002278,0.002278,0.002278
41,6976.54,1.11236,0.85973,1.29838,0.77976,0.63548,0.7213,0.4837,1.12141,0.91109,1.25687,0.00208,0.00208,0.00208
42,7143.05,1.09813,0.82897,1.28577,0.77206,0.63002,0.71703,0.4824,1.12204,0.9183,1.25581,0.001882,0.001882,0.001882
43,7309.91,1.09622,0.8242,1.28465,0.77651,0.62904,0.71814,0.48334,1.12215,0.91719,1.25876,0.001684,0.001684,0.001684
44,7476.97,1.08656,0.81923,1.28121,0.78069,0.6255,0.71765,0.48311,1.12059,0.91806,1.26188,0.001486,0.001486,0.001486
45,7643.56,1.07878,0.80208,1.272,0.7767,0.63269,0.72105,0.48588,1.12292,0.91169,1.26199,0.001288,0.001288,0.001288
46,7810.37,1.0701,0.79966,1.26678,0.77724,0.63325,0.72162,0.48601,1.12101,0.90979,1.25876,0.00109,0.00109,0.00109
47,7977.01,1.05994,0.77471,1.25685,0.77083,0.63648,0.72146,0.48652,1.11991,0.91073,1.25883,0.000892,0.000892,0.000892
48,8143.1,1.05931,0.77325,1.25724,0.77765,0.63292,0.71977,0.4855,1.11871,0.91275,1.25792,0.000694,0.000694,0.000694
49,8309.8,1.04739,0.76156,1.25462,0.77069,0.63604,0.71939,0.48438,1.12212,0.9146,1.25898,0.000496,0.000496,0.000496
50,8476.97,1.05255,0.76116,1.2528,0.7753,0.63664,0.71997,0.48511,1.121,0.91498,1.25773,0.000298,0.000298,0.000298
